,sentence,label
861,"it's their familial ups and downs that shift this small , stubbornly poignant documentary . . . from the realm of special-interest audiences to the more universal theater of family psychodynamics .",0
5036,"the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles .",1
3762,"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid .",0
8905,"july 1 , 1981 four people were bludgeoned to death .",1
5052,"used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home .",1
6326,"befriended by the ship's charismatic cyborg cook , john silver , jim blossoms under his guidance and shows the makings of a fine shipmate as he and the alien crew battle a supernova , a black hole , and a ferocious space storm .",1
7676,"his own colleagues after him , john follows a very small trace that might hold the key to his innocence , a strange unsolved yet predicted murder and a so-called "" minority report "" , a documentation of one of the rare events in which a precog sees something different than the other two .",1
1781,"a satisfying charmer that tells a compelling story , and then tops that by offering up a saucy sextet of britain's best veteran actors .",0
7407,a film about a modern-day shaman and his young disciple in rural vermont .,1
1810,"far from a bad film , and at least two of its central trio of performances provide moments of disarming grace , but don't be surprised if a whiff of self-congratulation emanates from the screen .",0
8503,"with the fbi and press in hot pursuit , she must make the hardest decision in her life .",1
8684,shade is set in the world of poker hustlers working the clubs and martini bars of los angeles .,1
2715,"performances all around are tops , with the two leads delivering oscar-caliber performances .",0
9998,"after listening to a missionary from china speak , a christian man ( josh gaffga ) becomes very convinced by what he hears .",1
2404,"the film is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy .",0
3717,"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange .",0
1450,"this is snappy , frothy screwball comedy awash in french understatement .",0
8380,"in the end , both come to new understanding of what is important and appear to be set in new ethical and moral directions .",1
7898,"mois&#233 ; s kaufman and members of new york's tectonic theater project went to laramie , wyoming after the murder of matthew shepard .",1
9816,but later that year she was gunned down by assasins hired by the same criminal drug lords she exposed .,1
8986,max plays it cool as he infiltrates beno's palace stronghold in the steamy jungle of the yucatan .,1
6229,"he holds her prisoner while awaiting the surgery , but she escapes and hides out until she raises enough money to flee to the u . s . when she arrives in new york , she is placed in a detention center .",1
9632,"in building a home-made bomb and setting off a plan that fails miserably , her status changes from young widow to that of a criminal in custody .",1
2890,tuck everlasting achieves a delicate balance of romantic innocence and philosophical depth .,0
178,"it's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . unfortunately , that's precisely what arthur dong's family fundamentals does .",0
4890,"all of the elements are in place for a great film noir , but director george hickenlooper's approach to the material is too upbeat .",0
4169,i've heard that the fans of the first men in black have come away hating the second one . i wonder why . they felt like the same movie to me .,0
4448,"first and foremost . . . the reason to go see "" blue crush "" is the phenomenal , water-born cinematography by david hennings .",0
1949,a model of what films like this should be like .,0
3667,"a terrifically deft picture about the thick line that separates movie glamour from the real world , and the thin line between common sense and paranoia .",0
6768,"now she can't perform the song , and aksel realizes he must take action !",1
4718,unsung heroes of some of pop music's finest moments get to stand up and be counted in this documentary/concert/tribute .,0
4622,"despite hoffman's best efforts , wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .",0
5195,"unwilling to disappoint his proud mother , morales wastes no time in looking for a job to pay his way through school .",1
4033,"tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .",0
2338,"rehearsals are frequently more fascinating than the results . last dance , whatever its flaws , fulfills one facet of its mission in making me want to find out whether , in this case , that's true .",0
1821,"there's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .",0
1108,"nearly surreal , dabbling in french , this is no simple movie , and you'll be taking a risk if you choose to see it . i enjoyed the ride ( bumps and all ) , creamy depth , and ultimate theme .",0
8137,"his best friend , daria knows just what to do and invites sebastien to a dinner party to meet "" the boys . """,1
7535,"when images of nicholas's absent father start to appear to him , the boy is understandably frightened .",1
5238,"he indeed is douglas ( timothy bottoms ) , a perfect look-a-like .",1
2412,"cassavetes thinks he's making dog day afternoon with a cause , but all he's done is to reduce everything he touches to a shrill , didactic cartoon .",0
4277,the film has a childlike quality about it . but the feelings evoked in the film are lukewarm and quick to pass .,0
2514,well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,0
3014,"a coming-of-age tale from new zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board .",0
5749,max finally decides to help the fbi by describing his constant dreams about the kidnapping .,1
9532,"they end up paying ray , the local "" playboy , "" $5 , 000 to date her .",1
9138,"when danny's beloved grandfather dies , does his greed overcome his love ?",1
2953,"it's also clear from the start that the transporter is running purely on adrenaline , and once the initial high wears off , the film's shortcomings start to shine through .",0
3552,imagine a scenario where bergman approaches swedish fatalism using gary larson's far side humor,0
3207,"harvard man is a semi-throwback , a reminiscence without nostalgia or sentimentality .",0
9093,"it slowly becomes obvious that alex , the disgruntled maid-of-honor , carries a secret that effects not just the course of her life , but that of almost everyone at the shower .",1
5988,the fact that the filmmakers family is integral to this slice of life takes us that much closer to it all .,1
9461,"a stone building , newly restored , stands in the clear light of the autumnal equinox .",1
1854,"like life on the island , the movie grows boring despite the scenery .",0
7267,"because of his horribly unforgivable sins , freddy krueger ( robert englund ) is stuck in hell eternally .",1
8479,"vicious , the future descendant of james and jessie of team rocket , travels back in time to wreak havoc , and it's up to young ash , pikachu and friends to stop him .",1
9719,"however , his son is a celibate priest who has never had any success with women . . . , ever .",1
4641,"like any warhol/morrissey relic , arnon goldfinger's the komediant rediscovers chapters in new york's cultural past .",0
336,"[the kid's] just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",0
3408,merchant hasn't directed this movie so much as produced it -- like sausage .,0
6719,during the course of the story we follow our hero as he attempts to single-handedly save the country from falling into the hands of a despot .,1
7990,their one song rarely - if ever - gets played on the radio .,1
1236,an atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding .,0
3801,a sweet film about two gentle souls - there is a genuine caring between them that feels like watching old friends .,0
6146,"the three roommates have proudly scammed their way through the last four years of college and now , during the final exams , these big-men-on-campus are about to be busted by the most unlikely dude in school .",1
2434,"although sensitive to a fault , it's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .",0
4701,"shanghai ghetto , much stranger than any fiction , brings this unknown slice of history affectingly to life .",0
588,"samira makhmalbaf's new film blackboards is much like the ethos of a stream of consciousness , although , it's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal",0
9395,"but someone has been watching , and they've had enough . . .",1
9134,chris takes mitchell to an abandoned rooftop and threatens him and his mother .,1
4939,it's not just the vampires that are damned in queen of the damned -- the viewers will feel they suffer the same fate .,0
1312,"for those in search of something different , wendigo is a genuinely bone-chilling tale .",0
734,"leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .",0
5900,"at this , he loses his temper and gets physical with the employee .",1
40,"starts slowly , but adrien brody – in the title role – helps make the film's conclusion powerful and satisfying .",0
8565,"paralyzed by the discovery he is only capable of leaving with a stupid excuse , trying to hide from ana the anguish that barely lets him breath .",1
8308,"eight year old peter carlson tries to save his family from eviction by "" blackmailing santa "" .",1
7618,he's your standard adrenaline junkie with no fear and a lousy attitude .,1
6285,"shane bradley , who is fixated on ideas of luck and destiny , tries to win the girl of his dreams .",1
9625,based upon sherman alexie's book of poetry of the same name .,1
5773,andy spirals down into crack addiction and becomes a homeless prostitute and mike gains stability in his life once he moves in with his loving and supportive aunt .,1
9164,a young couple moves into a neighborhood obsessed with the frightening silent movie history that took place 80 years before .,1
6868,"there is only one drawback , the sorceress and the priestess are sisters .",1
5158,"a close acquaintance overhears their conversation , and , promised a fee , reports the win to max ( david winburn ) , smooth-talking but deadly leader of a hoodlum gang , who sends his beautiful paramour , cindy ( kelly taylor ) , to seduce jose , if necessary , to get her hands on the winning ticket .",1
3115,"bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .",0
1219,a haunting film about one of the great escapes of all time .,0
8443,"despite guidance from the blue fairy , and the love of his father , gepetto , a wooden puppet's curious spirit leads him into one wild adventure after another .",1
4857,"by turns pretentious , fascinating , ludicrous , provocative and vainglorious .",0
2325,"femme fatale is not the director's best work ever , but it is as good as we've seen him be in much too long a time .",0
5109,but her husband always has prevented her realization of this fact .,1
3938,"even if you feel like you've seen this movie a thousand times before , it is kind of enjoyable thanks mainly to belushi's easy-going likableness .",0
7193,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score .,1
6599,he wants to realize the dream nurtured for year by his father .,1
4940,it's all a rather shapeless good time . . .,0
6226,"she's eighteen , unemployed , broke and hopelessly in love with her wannabe rockstar boyfriend matt .",1
1604,"it's slow -- very , very slow . it's not the ultimate depression-era gangster movie . that's pure pr hype .",0
1425,"unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers .",0
307,"blade ii is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she's gonna make you feel like you owe her big-time .",0
7284,"the homespun musician couldn't have done it without the support of his family , friends , lovers and the neighborhood kids he called 'starchildren' , all of whom paint the big picture of bruce's life legacy and 'dimension of imagination' .",1
1526,"rife with the rueful , wry humor springing out of yiddish culture and language .",0
5432,"years after escaping to the wastelands outside the city , claire , one of the few people left who is not an addict , returns looking for the one man who still matters to her .",1
6350,"he tries , with his family's support , to find a job and live a normal life .",1
5450,"through the guidance of his doctor , he confronts his painful past and begins a quest to find the family he never knew .",1
3920,this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .,0
5318,"having transplanted herself to hawaii with no one's blessing but her own , anne marie finds all she needs in the adrenaline-charged surf scene . . .",1
5713,"throughout the day's move , their two very different groups of friends tangle in conflicts and romance while august tries to figure out who he really wants before it's too late .",1
8382,"using fossilized dna , a scientist resurrects one of nature's most fearsome predators , a sabretooth tiger .",1
9604,the classic tale of 'peter pan' continues in disney's sequel 'return to never land' .,1
9787,"to pull him out of his now dangerous financial predicament will turns to his wealthy in-laws , spinning a myriad of desperate lies , half-truths and deceptions .",1
7053,leela is a film based on the south asian-american experience .,1
9071,"at first suspicious , then curious , and ultimately captivated , he watches as a life unknown to him unfolds before his eyes .",1
8451,hong has a brilliant mind and immediately senses she's dealing with a killer with very special skills .,1
2561,"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible . it's very beavis and butthead , yet always seems to elicit a chuckle .",0
3355,"it's up to [watts] to lend credibility to this strange scenario , and her presence succeeds in making us believe .",0
2178,labute masterfully balances both traditional or modern stories together in a manner that one never overwhelms the other . something for everyone .,0
1006,"beautifully acted , smart and funny . it steers clear of being a maudlin soap opera normally found on lifetime .",0
3434,it's a mystery how the movie could be released in this condition .,0
4416,chao was chen kaige's assistant for years in china . he has not learnt that storytelling is what the movies are about .,0
3078,undercover brother doesn't go far enough . it's just a silly black genre spoof .,0
4750,"the writer-director bestows honor -- generously , apolitically -- not only on the dead and still living american veterans who fought in ia drang , but also on their families , on their vietnamese adversaries , and on the families of their adversaries too .",0
4588,"the movie overcomes its lack or originality in the setup by making good use of its central idea , that a pair of sneakers could make a kid into an nba star .",0
8785,peter and martin - the two chefs - want to get him out and soon father and son meet for the first time in their lives .,1
6762,"majid majidi interviews peasants , soldiers , youngsters , women , elderly and gives a special attention to the children's extraordinary resilience as they are confronted with the emotional and physical turmoil of war .",1
2783,"she's not yet an actress , not quite a singer . . .",0
5778,"after a chance encounter at a theater , two men , benigno and marco , meet at a private clinic where benigno works .",1
8459,although they don't even exchange glances he tells his friend of a love at first sight relationship between himself and the beautiful veronique .,1
686,"one of those based-on-truth stories that persuades you , with every scene , that it could never really have happened this way .",0
3855,this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated .,0
7216,"new hampshire , 1972 : will murphy , fledgling restaurant mogul , amateur lounge singer and go-go bar owner is stumbling after his own version of the american dream .",1
3601,the script falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy .,0
9520,on his way he gets again and again into situations of obsessive self-uncovering .,1
761,"the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect .",0
1041,one of the year's most weirdly engaging and unpredictable character pieces .,0
4125,"renée zellweger , catherine zeta-jones , richard gere , queen latifah and even sad-faced ol' john c . reilly will have you singin' and dancin' in the aisles .",0
3758,"it downplays the initial assault , referring to it only in fragmented flashbacks , while offering a cogent critique of ongoing attitudes about rape and its victims , particularly in japan .",0
540,"dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation . it haunts , horrifies , startles and fascinates ; it is impossible to look away . ah yes , and then there's the music . . .",0
3522,"there's a bit of thematic meat on the bones of queen of the damned , as its origins in an anne rice novel dictate , but generally , it's a movie that emphasizes style over character and substance .",0
6067,"becoming fast friends , they soon both moved with their families near coney island , where they became active community leaders .",1
495,"even if you have no interest in the gang-infested , east-vs . -west coast rap wars , this modern mob music drama never fails to fascinate .",0
6506,a serial killer named shin-hyun gives himself up to police .,1
6109,"as the strange thefts escalate , detective phil barbara ( gale harold ) is assigned to the case and is soon on chep and fran's trail .",1
8469,"in 1999 , after one of their husbands became ill with leukemia , the women came up with a more commercial concept : discreet photos of these bare wi lasses .",1
632,a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .,0
4757,"the tonal shifts are jolting , and though wen's messages are profound and thoughtfully delivered , more thorough transitions would have made the film more cohesive .",0
7962,"he's survived only by holding onto his dream of revenge against matty , the man he believes betrayed him .",1
3575,one key problem with these ardently christian storylines is that there is never any question of how things will turn out .,0
6708,"the protagonist , sally amonte , is still mourning the loss of her deceased husband and though she is young and beautiful , has resigned herself to working in the textile mill , caring for her elderly mother , and worrying about her rebellious teenage daughter .",1
5153,"what he finds is a pocket of life that seems to be in another era , where prejudice and intolerance are accepted , where the small minds of angry men call the shots and where one woman attempts to save him and fails .",1
7772,she has an emotional bond with a casino owner ( deepak tijori ) .,1
6640,"he is imprisoned , awaiting the death sentence for his crimes .",1
6975,but things go terribly wrong for the honest bank manager when he finds one of his own employees trying to con the customers .,1
7208,"the driver finds himself in a dangerous , yet highly political situation ; this time being pursued by a helicopter gunship while carrying a passenger with a suitcase . . .",1
7605,"confronted with the reality that jazz has limited commercial appeal , the story focuses on the band's battles with the music industry and one another to find respect and recognition without 'selling out' .",1
3793,"i wish i could say "" thank god it's friday "" , but the truth of the matter is i was glad when it was over .",0
4734,"the secrets of time travel will have been discovered , indulged in and rejected as boring before i see this piece of crap again .",0
8048,"with the help of an angry young filmmaker , a russian sound recordist hoping to break into the local film industry , and a seven-foot tall tow truck driver from quebec , he embarks on a comical investigation into . . .",1
9928,"the nightmare isnt over , william birkin ordered the hive to be reopened , and in doing so contaminated all of raccoon city , a city of the daed , with alice stuck right in the middle .",1
519,"the real charm of this trifle is the deadpan comic face of its star , jean reno , who resembles sly stallone in a hot sake half-sleep .",0
5083,"genetically engineered to be immune to the drug , miles' strange charisma draws claire to him , but when he brutally guns down a group of harmless dissidents , she begins to doubt she can really trust anyone .",1
3318,"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience .",0
6812,"meanwhile , a farmer and his son set out on a personal mission to hunt the creeper down .",1
4462,"jacobi , the most fluent of actors , is given relatively dry material from nijinsky's writings to perform , and the visuals , even erotically frank ones , become dullingly repetitive .",0
1929, . . . a pretentious and ultimately empty examination of a sick and evil woman .,0
6732,rachel soon finds herself involved with the playground and on the killers hitlist .,1
8404,"jimmy ( thomas ) is a highly educated barber with a superiority complex who can't stand isaac ( garity ) , the new , white barber who just wants a shot at cutting some hair .",1
3367,"ninety minutes of viva castro ! can be as tiresome as 9 seconds of jesse helms' anti- castro rhetoric , which are included",0
2309,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .,0
7408,a young professional discovers the difficulty of leaving the corporate nest .,1
7459,"at the end a 50-foot high , neon-lit , wooden effigy is burned , igniting a wild , tribal , all-night celebration .",1
5949,"although they have fallen into a habitual rivalry based on a cause long forgotten , the pair unite when the multinational fast-food outlet "" burgies "" unveils a new store directly opposite the twin fish &#38 ; chips shops .",1
6263,a story about a troubled genius who attempts to build a magnetic engine in hopes of greatly reducing the worlds consumption of fossil fuels and electricity .,1
5306,there's also a local detective ( swank ) who is conducting her own personal investigation . . .,1
5528,"during the heist , they have to work together to overcome high-tech security systems , guard dogs , a nasty head of security , and a bank vault that is suspended 30 feet above ground .",1
1926,"fun , flip and terribly hip bit of cinematic entertainment .",0
6435,"portrait of immigrant youth in two european countries , france and norway , where violence and illegal activity have become a part of everyday life , and where the search for identity can quickly take a dangerous turn .",1
515,"it lacks the compassion , good-natured humor and the level of insight that made [eyre's] first film something of a sleeper success .",0
1151,"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .",0
2307," "" argento splatters her colorful life on the screen like an adolescent's diary , trusting others to sort through the fascinating mess . """,0
9447,in new york she finds out the true nature of the experimental play he's performing in .,1
3216,daughter from danang sticks with its subjects a little longer and tells a deeper story,0
4312,"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance",0
1216," . . . although this idea is "" new "" the results are tired .",0
1434,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis .",0
6231," "" new suit "" is a contemporary update of the fairy tale "" the emperor's new clothes . """,1
8034,"it takes viewers on an intimate road trip across north america - from a polyamory conference in the catskills , a swingers' convention in las vegas , to long-term multipartner families in california .",1
2518,"an unpredictable blend of gal-pal smart talk , romantic comedy and dark tragedy that bites off considerably more than writer/director john mckay can swallow .",0
5049,"matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice .",1
4369,"a morality tale whose thought-provoking potential is hampered by a made-for-tv look , rigid performances and an asinine 'twist' that brazenly rips off the sixth sense .",0
9907,"both undauntedly take a sardonic , action-packed jaunt with plenty of gunplay and intrigue with an unforgettable cast of characters after marko's trusting wife ashe ( robyn adamsom ) discovers that these two deviants of social behavior have bet her entire life savings of 3 , 000 bucks on an nba play-off game .",1
9274,"after his friend , a hot young artist , is killed , a resourceful american man living in london covers up the crime and tries to keep the friend's name alive in order to exploit his legacy and reap millions in the process .",1
5010,women craved him and men wanted to be him .,1
6642,the kids go through many adventures as a result of taking the flag home .,1
7978,"but a fictitious geoffrey buonardi , with the same paintings and an inventive back story , can become the darling of the art world .",1
5813,"it is said that when the devil wishes to take a mortal soul , he'll walk the earth in the guise of a child for they are pure of heart .",1
4365,you'll just have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery .,0
7948,many years have passed since the secret knight avenged his family by slaying the evil knight .,1
6140,"they literally bump heads one night , and become best friends .",1
9170,april burns ( holmes ) invites her family to thanksgiving dinner at her teeny apartment on new york's lower east side .,1
7396,"while conquering the drug world , kilo falls in love with a local latina girl who quickly becomes pregnant .",1
9758,she wants a new relationship with an old lover who wrote her a love note years ago .,1
7500,a chained to a rock finnish sniper-kamikadze wille managed to set himself free .,1
510,"lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it's compelling .",0
8608,"detective kuroda tries to find the answer , which isn't as simple as one could hope .",1
4952,"i didn't find much fascination in the swinging . what they're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge . but that they are doing it is thought-provoking .",0
4370,captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head .,0
7628,"erin , who we discover is a master manipulator of the men in the gang , reveals another side to jack - a melancholy romantic who could have been a classical pianist .",1
9709,the detective maud graham hides her sensibility behind the image of a strong and independant woman .,1
1285,"with its lackadaisical plotting and mindless action , all about the benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .",0
1940,"in trying to be daring and original , it comes off as only occasionally satirical and never fresh .",0
1448,it's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland .,0
5372,"as she makes her way through the dazed world of the city's junkies , only one person seems able to provide any help : the obsessive and self-destructive miles , the last of the city's security officers .",1
4212,the basic premise is intriguing but quickly becomes distasteful and downright creepy .,0
2102,"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated .",0
7472,"a young man named owen , who can't get over his would-be fiancee and now ex-girlfriend , chloe , who moved to los angeles to become a tv star , finally falls in love with nadine , the girl who would've been their maid of honor .",1
4714,stone seems to have a knack for wrapping the theater in a cold blanket of urban desperation .,0
930,the advantage of a postapocalyptic setting is that it can be made on the cheap . any rock pile will do for a set . reign of fire has the disadvantage of also looking cheap .,0
4248,"you would be better off investing in the worthy emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .",0
4814,mazel tov to a film about a family's joyous life acting on the yiddish stage .,0
1110,"seemingly a vehicle to showcase the canadian's inane ramblings , stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr . drew barrymore .",0
2750,the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .,0
642,"it's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it's savvy about celebrity and has more guts and energy than much of what will open this year .",0
3226,less a study in madness or love than a study in schoolgirl obsession .,0
8345,"caught in this battle of wills is clara's daughter , victoria , who finds she is about to be married into the same faith that murdered her father .",1
6158,"evergon is ultimately a compelling story about the human condition , exploring a young man's search for love , steady employment and self-respect .",1
5205,"together , they plan to build their definite house over land that belonged to gregorio's grandfather , but little does the rest of the family suspect that beneath the terrain there is a huge number of weapons buried by gregorio during his youth .",1
7319,the conflict arose because selling rights to the land that is now vermont was given to both new hampshire and new york .,1
7503,benito--for years a fixture in the church as well as the community--welcomes father amaro into a new life of unseen challenges .,1
5651,"when fran , ( paige turco ) walks into the prop house where he lives looking for unusual objects , chep immediately develops a crush .",1
1143,"ritchie may not have a novel thought in his head , but he knows how to pose madonna .",0
67,kosminsky . . . puts enough salt into the wounds of the tortured and self-conscious material to make it sting .,0
5999,"these movies were the first adult movies , most of them were made in order to explain how sex works to unexperimented young men before their first relation with a prostitute . . .",1
4860,you know that ten bucks you'd spend on a ticket ? just send it to cranky . we don't get paid enough to sit through crap like this .,0
2916,"escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .",0
9153,"she files for divorce , and marco makes a decision that will change all their lives .",1
579,"there's a great deal of corny dialogue and preposterous moments . and yet , it still works .",0
6462,"in this playful and rollicking swashbuckler , drag king pirates take to the high seas on a quest to restore stolen treasures .",1
4988,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you can't wait to see what they do next .",0
4623,"hope keeps arising that the movie will live up to the apparent skills of its makers and the talents of its actors , but it doesn't .",0
9487,"through intimate vignettes of the milliner family , tiz's close-knit crew , his pregnant girlfriend , his overzealous manager , and his mentor , the legendary kool g rap , tiz's hopes and the quiet despair of his "" book of life filled with pain "" gradually emerge .",1
167,treats a potentially explosive set-up with adult reflection and thoughtfulness .,0
5299,"in a fit of desperation he challenges god and vents that if only he had god's power , he could solve all his problems .",1
747,"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",0
7344,"his sister nicole is 15 , and dealing with her impending womanhood ; middle brother mike is the "" normal "" one , but in some ways the most childish - his latest conquest is nadine , who runs the dog kennel at his security guard job .",1
136,"in the era of the sopranos , it feels painfully redundant and inauthentic .",0
1829,"like the best 60 minutes exposé , the film ( at 80 minutes ) is actually quite entertaining .",0
3927,it's almost as if it's an elaborate dare more than a full-blooded film .,0
1329,those who want to be jolted out of their gourd should drop everything and run to ichi .,0
91,"the screenplay comes across , rather unintentionally , as hip-hop scooby-doo .",0
6480,"a comedy about bending the rules to reach your goal , bend it like beckham explores the world of women's football , from kick-abouts in the park to freekicks in the final .",1
4085,"like its two predecessors , 1983's koyaanisqatsi and 1988's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel-gazing film ever .",0
2042,"arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws .",0
7667,he'll do anything to make her love him again .,1
701,the charms of the lead performances allow us to forget most of the film's problems .,0
9991,"besides the fact that he is still disliked by professor snape ( alan rickman ) and hated by draco malfoy ( tom felton ) , harry gets off to a great start with his two best friends , ron weasly ( rupert grint ) and hermione granger ( emma watson ) , and famous writer gilderoy lockhart ( kenneth branagh ) has joined the hogwarts staff and is the new defense against the dark arts teacher .",1
5135,"but there is indie rock , a restless entrepreneurial spirit , and carly , morgan and chuck , three optimistic post college grads , ready to make their splash in the world .",1
3138,"broomfield seems to uncover a massive scoop here , revealing the multitude of people involved and the possible motivations behind the killings of his titular subjects .",0
8115,"completely shocked , she can't take life anymore as all her dreams fall apart .",1
8725,"the daughter of italian immigrants born in s&#227 ; o paulo , she had to overcome traumas , among these , the suicide of her parents .",1
1640,it certainly won't win any awards in the plot department but it sets out with no pretensions and delivers big time .,0
4392,"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard's finest work .",0
