,sentence,label
63,What is titanium ?,0
794,What actor married John F. Kennedy 's sister ?,3
1055,What 's the name of Jacques Cousteau 's research ship ?,1
4805,"Who created Billy Pilgrim , a survivor of the Dresden firestorm ?",3
4975,Who played the father on `` Charles in Charge '' ?,3
4865,What is the text of the Fifth Amendment ?,0
3137,What is Butterfield 8 in Butterfield 8 ?,0
5083,What London street claims to be the world center for men 's tailoring ?,4
2879,What is a fear of hair ?,1
4231,What woman pitcher has struck out Ted Williams and Hank Aaron ?,3
3783,How many e-commerce companies are started every day ?,5
721,What percentage of Americans own their homes ?,5
5094,What soft drink held a national flavor poll in 1967 ?,1
1126,What organization did Mr. Waverly assign agents for ?,3
5115,What does Esa-Pekka Salonen look like ?,0
5295,Where is the group M People from ?,4
287,Who was the founding member of the Pink Floyd band ?,3
2372,What United States city produces the most oil ?,4
3699,What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,3
1193,What are the Twin Cities ?,0
2584,When do MORMONS believe Christ was born ?,5
2868,Who won a Pulitzer Prize for his novel The Caine Mutiny ?,3
2107,What famous comedian recently tried without success to revive the play ?,3
561,What U.S. state borders Illinois to the north ?,4
1456,What is the C programming language ?,0
1432,How many penny-farthings are there on a Trivial Pursuit game board ?,5
1561,How many milliseconds in a second ?,5
5327,What city 's theatrical district has been dubbed The Roaring Forties ?,4
764,What horse did Zorro ride ?,1
4700,What are some translations of the phrase `` Thank-you '' ?,1
2991,"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",3
2648,How many real fruit juices are there in a can of Hawaiian Punch ?,5
1550,What are the signs of a country going into a recession ?,1
4319,What relative of Leo Tolstoy translated War and Peace eight times ?,3
2827,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",1
1209,In what year did Hitler gain power of Germany ?,5
2640,What are the conjugations of wake and woke ?,1
3402,What 's the capital of Taiwan ?,4
1612,What kind of a sports team is the Wisconsin Badgers ?,1
1094,Who was Monet ?,3
2100,What year did nylon stockings first go on sale ?,5
1223,What is another term for the painful wrist syndrome ?,1
2927,Which Latin American country is the largest ?,4
4635,Where are the busiest Amtrak rail stations in the U.S. ?,4
1181,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",1
5131,Who gave us the `` Rolling Writer '' ?,3
2034,"What islands got their name from the Spanish baja mar , meaning shallow water ?",4
3396,What is the best brand for a laptop computer ?,1
4624,What is form drag ?,0
2973,Who is the president of the Spanish government ?,3
1743,What is a Devo hat ?,0
4281,What kind of fruit is a Yellow Transparent ?,1
4706,When was the USSR dissolved ?,5
4399,What fraction of a beaver 's life is spent swimming ?,5
911,Name the vessel used by the Atari Force in the DC comics .,1
4919,What are three ways in which wind is created on the earth ?,1
3667,Who is Samuel F. Pickering ?,3
2264,What are Britain 's two longest rivers ?,4
4103,Who found Hawaii ?,3
1862,What chocolate company gives you a one-pound kiss ?,3
2224,Who is Ishmael in Moby Dick ?,3
1566,What countries have the largest armed forces in the world ?,4
1534,What was the distinguishing mark on the `` Little Rascals '' dog ?,1
414,What country 's people are the top television watchers ?,4
3964,When did Thatcher become prime minister ?,5
2945,What number is at 12 o 'clock on a dartboard ?,5
2464,What is `` Vocal Sampling '' ?,0
3478,What can one see in Reims ?,1
1499,How far is London UK from California ?,5
1025,What British TV series featured Emma Peel ?,1
4140,What star-faring race brought about the Inhumans on Marvel 's Earth ?,1
4165,When did Nixon visit China ?,5
2002,What is the meaning of thalassemia ?,0
252,What is the origin of the name Katie ?,0
2240,"How many miles is it from London , England to Plymouth , England ?",5
654,Whom did the Chicago Bulls beat in the 1993 championship ?,3
350,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,3
4497,What are the current immigration laws in US ?,0
2857,"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",3
2186,What sign is the best love match for a horoscope sign ?,1
457,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,1
2662,How many frames does a disk camera shoot ?,5
952,In what city is the headquarters of Sinn Fein ?,4
90,When did CNN begin broadcasting ?,5
798,What type of hunting are retrievers used for ?,1
2245,What are the environmental influences on plant genetics ?,0
3937,What does saliva consist of ?,1
3613,How many verses are in the Bible ?,5
26,Who was the inventor of silly putty ?,3
2874,What is the nursery rhyme Rock-a-by Baby about ?,0
549,What kind of file has the extension .dbf ?,1
3102,What is difference between a poster and a print ?,0
181,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",1
1351,What English queen had seventeen children ?,3
263,How many feet are there in a fathom ?,5
1702,What nationality was Jackson Pollock ?,4
3996,When was Florida admitted into the Union ?,5
2687,What spice do chefs pay the most for ?,1
2045,What was the nationality of Jackson Pollock ?,4
2437,When was the internal combustion engine developed ?,5
1448,Aspartame is also known as what ?,1
5075,How deep is a fathom ?,5
5092,The Olympic Games in which year allowed Nadia Comaneci to become popular ?,5
4945,What British general surrendered to the colonial army at Saratoga ?,3
3002,What is porphyria ?,0
4697,How many people died on South Carolina highways in 1998 ?,5
4832,Where is Glasgow ?,4
2570,What is the origin of the proverb `` A stitch in time saves nine '' ?,0
1350,What animals can live the longest without food ?,1
3558,What date is Boxing Day ?,5
5063,What professional cricketer 's son wrote The War of the Worlds in 1898 ?,3
1726,What war saw battles at Parrot 's Beak and Black Virgin ?,1
4950,What is humidity ?,0
1837,How many meters are in a mile ?,5
1877,What is the best distance education university or college ?,3
2127,How can I trace my family roots ?,0
69,What are Cushman and Wakefield known for ?,0
2154,"What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?",0
2561,What film ends with the line : `` This is Mrs. Norman Maine '' ?,1
676,How can I find a phone number of someone if I only know their email address ?,0
4420,How many zip codes are there in the U.S. ?,5
5352,Who is the president of Bolivia ?,3
1919,What four U.S. states have active volcanoes ?,4
4938,"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",3
203,When did the royal wedding of Prince Andrew and Fergie take place ?,5
3839,What is the most popular sports car color ?,1
339,Who was the first woman golfer to earn a million ?,3
3693,"What late-night TV show features Larry , Bud , Melman and Toast on a Stick ?",1
4416,Which king signed the Magna Carta ?,3
2182,How do I register a trade name in North Carolina ?,0
387,What is the fear of cockroaches called ?,1
877,What state in the U.S. has the most blacks ?,4
4066,What actress starred in `` The Lion in Winter '' ?,3
1295,Define cosmology .,0
1600,What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,1
5423,How do you make the color purple ?,0
3557,What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?,0
2970,"Where can one find information on religion and health , the brain and nutrition ?",4
2499,Who is Stephen Hawking ?,3
4384,Where can I get a map of Prussia on the Internet ?,4
3541,What 's the name of the Wilkes plantation in Gone with the Wind ?,4
2252,What does IOC stand for ?,2
221,What does S.O.S. stand for ?,2
677,How can you contact play producers and promoters on-line ?,0
4638,Who was considered to be the father of psychology ?,3
2683,How was Teddy Roosevelt related to FDR ?,0
5333,What is Dr. Ruth 's last name ?,3
805,What former president 's daughter has written a book titled Murder in the White House ?,3
3784,How can you define time ?,0
2770,What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,1
4063,What is the richest state in the U.S. ?,4
3523,What manufacturers are there in Texas ?,3
2329,What do peacocks mate with ?,1
3323,How many colonies did Germany get to keep after World War I ?,5
1532,Who is the current prime minister and president of Russia ?,3
5024,Where did King Francis I hang the `` Mona Lisa '' when he owned it ?,4
2678,What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,3
4944,How many rows of whiskers does a cat have ?,5
177,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,0
4378,Who awarded The Flying Fickle Finger of Fate ?,3
3424,How many people lived in Nebraska in the mid 1900s ?,5
2418,How many equal sides are there on a scalene triangle ?,5
1504,What Hermann Hesse book gave its name to a rock group ?,1
5328,What should the temperature be set at while baking Peachy Oat Muffins ?,5
3914,Where are the Haversian canals ?,4
2197,What business exports the sparkling wine Spumante ?,3
3349,How many zeros are there in a trillion ?,5
996,"Where is the actress , Marion Davies , buried ?",4
733,What was the name of the cook on Rawhide ?,3
605,What color of dry wine should be served with veal roasts and chops ?,1
3088,"What English physician was born on January 18 , 1779 and went on to create two important inventions ?",3
3262,What British commander surrendered to George Washington at Yorktown in 1781 ?,3
4968,Which major diamond producer is based in South Africa ?,3
3989,Who made the first airplane that could fly ?,3
2673,Who won the Superbowl in ?,3
1769,What is Nathan Hamill 's role in the new Star Wars prequel ?,3
5014,Which country is the largest country in Latin America ?,4
527,What city is Logan Airport in ?,4
2998,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,4
1730,Who created Big Ben ?,3
4419,Name the child left on a doorstep at the beginning of Gasoline Alley .,3
4813,What lake in Scotland is said to hold one or more monsters ?,4
681,What are the top ten most common girl names in the US ?,3
2577,Who owns the St. Louis Rams ?,3
2654,What is Zionism ?,0
3447,Who was Santos-Dumont ?,3
4149,What 1976 Deep Throat clone provides the leading lady with a second larynx ?,1
2025,What is a fear of pregnancy ?,1
3574,What is the term for someone who hates mankind ?,1
803,What is measured in curies ?,0
1822,What is the average hourly rate of American workers ?,5
3044,What natural attractions draw the most visitors in the United States ?,4
4743,What six-foot temperance advocate wielded her hatchet on saloons ?,3
2559,What happens when a body part falls asleep ?,0
2298,Where can I find book reviews of `` Turbulent Souls '' ?,4
3119,What is the average hours per months spent online by AOL users ?,5
3048,How do I know someone is truly in love with me ?,0
2487,What president 's ghost is said to haunt the White House ?,3
1886,What is a person called that likes fire ?,3
219,What organization 's offices were broken into at Watergate in 1972 ?,3
1370,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",4
2432,What is RCD ?,2
1168,What phone number can I call to have a tree planted ?,5
582,Why are the ears your center of balance ?,0
5047,How long ago did the Anglican church part from the Vatican ?,5
1074,What does Elysium mean ?,0
43,How many inches over six feet is the Venus de Milo ?,5
2209,How many years did Shea & Gould practice law in Los Angeles ?,5
210,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,1
4326,What is the Homelite Inc. home page ?,4
354,What ocean is the largest in the world ?,4
1086,How many children under 18 are victims of some sort of Physical Abuse each year ?,5
1487,What are you hearing when you put a seashell to your ear ?,0
4245,Who discovered imaginary numbers ?,3
479,How do you say `` fresh '' in Spanish ?,1
1397,What is the name of the medical condition in which a baby is born without a brain ?,1
829,Who invented silly putty ?,3
1907,What William Styron book is about a black preacher who leads a slave revolt ?,1
367,What Jewish holiday saw the start of the 1973 Mideast War ?,1
1436,"Where was the Cisalpine Republic , 1797-185 , ?",4
5313,"What happened on January 15 , 1969 ?",1
4783,What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?,1
3537,What U.S. state does the Continental Divide leave to enter Canada ?,4
135,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",5
2819,What time of year do most people fly ?,5
3204,What was the name of the director of the movie `` Jaws '' ?,3
47,What ISPs exist in the Caribbean ?,3
718,What is the plural of gulf ?,1
5004,"What does R.E.M. stand for , as in the rock group R.E.M. ?",2
3984,What was Simple Simon fishing for in his mother 's pail ?,1
2395,What U.S. President had brothers-in-law in the Confederate army ?,3
2194,What J.R.R. Tolkien book features Gimli as a central character ?,1
670,What is the highest mountain in the world ?,4
5084,How old is the universe ?,5
4639,How did Super President gain his powers on the animated series ?,0
3774,What is Dr. Seuss ' most popular book ?,1
1163,How can you stop the itch from poison ivy ?,0
61,What does `` extended definition '' mean and how would one write a paper on it ?,0
1891,"What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?",1
1084,What is Britain 's possession on the Chinese mainland ?,4
2856,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,3
5042,How many American soldiers are stationed in South Korea ?,5
95,What is the meaning of Jesus ?,0
3527,Where were the 196 Summer Olympics held ?,4
478,What cocktail do you concoct with whisky and sweet vermouth ?,1
121,Which two products use a tiger as their symbol ?,1
842,What is the origin of the expression `` tout de suite '' ?,0
2333,What tools do you use to crewel ?,1
3153,What is the youngest age a boy or girl can have an orgasm ?,5
3026,What Mormon leader was said to have had 27 wives ?,3
3768,What is the population of Kansas ?,5
2620,How many small businesses are there in the U.S .,5
3062,What are close encounters of the first and second kind ?,1
3399,What political party is Sinn Fein a part of ?,3
1509,What is the fear of frogs ?,1
1049,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,0
1073,How many Grammys did Michael Jackson win in 1983 ?,5
693,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,0
2457,Who is Count Cinzano ?,3
1393,What mustachioed comedian portrayed Frankie in North to Alaska ?,3
322,What is the deepest area of the Arctic Ocean ?,4
1553,What was the Christian name of the title character in Our Miss Brooks ?,3
1526,"Who created the comic strip , `` Garfield '' ?",3
5383,When was Microsoft established ?,5
3653,What rabbit got its name because its ears resembled those of a jackass ?,1
2633,What day is known as the `` national day of prayer '' ?,5
2629,What U.S. city was named for St. Francis of Assisi ?,4
2984,What country contains the highest point in South America ?,4
2671,What is the biggest `` thing '' humans have made ?,1
1786,What song did Patti Page set people dancing to in 1950 ?,1
833,What do manatees eat ?,1
2119,Who was Charles Lindbergh 's wife ?,3
2318,What were the achievements of Richard Nixon ?,1
1973,In what year was the movie the Ten Commandments released ?,5
1103,Who is always trying to get the rent from Andy Capp ?,3
3388,Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?,1
731,How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,5
334,Hazmat stands for what ?,0
291,Where was Christopher Columbus born ?,4
1665,Where are all European and American eels born ?,4
184,Why do horseshoes bring luck ?,0
2925,Who is the Antichrist ?,3
4513,What are the top 5 tallest buildings in the world ?,4
1305,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",1
533,Who invented baseball ?,3
2080,What are the highest-paying odds on a roulette table ?,5
4348,Who are the top ten richest people in the world ?,3
2369,What do most tourists visit in Reims ?,4
1871,"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?",3
1480,Name the first private citizen to fly in space .,3
4480,How long ago was the Roe vs. Wade decision by the Supreme Court ?,5
657,How is Easter Sunday 's date determined ?,0
4279,The Kentucky Horse Park is located near what city ?,4
2092,What 's the hardest substance in the human body ?,1
5109,What is Srpska Krajina ?,0
3570,What are the `` Star Wars '' satellites ?,0
1611,What is a bourdon tube ?,0
2168,What year did the first issue of `` Playboy '' come out ?,5
898,What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,1
4013,"Where can I find a tape or book to help me say , write and understand Japanese ?",4
428,What is Jane Goodall known for ?,0
4794,What hymn did John Steinbeck get his title The Grapes of Wrath from ?,1
3493,How do I find if my relatives were on the Trail of Tears ?,0
5060,What is a society ruled by elders ?,3
4293,"Why was Washington , DC originally called District of Columbia ?",0
5105,What kind of greeting is appropriate to send on Yom Kippur ?,0
2177,Name Pittsburgh 's baseball team .,3
4935,President Bush compared Saddam Hussein to whom ?,3
4020,Who invented the fountain ?,3
2364,What year did Spielberg make `` Jaws '' ?,5
1261,For what reason did some San Diego schools stop serving apples ?,0
4795,What invention does the principle of conservation of energy make impossible ?,1
5153,Who was Maria Theresa ?,3
2822,When is the Thai New Year ?,5
2226,What country has been called The Queen of the Antilles ?,4
1941,What is a fear of being dirty ?,1
1971,What were the cities of Dickens 's A Tale of Two Cities ?,4
4541,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,4
2144,What book does Holden Caulfield appear in ?,1
3145,What ill-fated craft was captained by Ernst Lehmann ?,1
5057,What are the unemployment statistics for the years 1965 and 1990 ?,5
3825,What is a fear of ruin ?,1
3960,What color is Chablis ?,1
2656,How many points are there on a Backgammon board ?,5
3994,How high is the city of Denver ?,5
2753,How many web servers are there ?,5
5170,How do you ask questions ?,0
4104,What does IQ stand for ?,2
3504,Who is the leader of India ?,3
70,What body of water does the Danube River flow into ?,4
2153,When was the Bill of Rights ratified ?,5
2321,Saddam Hussein was compared to whom by President Bush ?,3
4402,What was the previous name for the Commonwealth ?,3
4240,What is the origin of the expression `` four-letter word '' ?,0
1344,What country is Kosovo a part of ?,4
831,Who patented the first phonograph ?,3
1407,Name the food company that traveled to Soviet Georgia to film a series of ads .,3
1260,What boxer 's life story is titled Raging Bull ?,3
4448,Where are diamonds mined ?,4
238,What 's the slowest Olympic swimming stroke ?,1
1617,In what year did China and the Republic of Korea establish diplomatic relations ?,5
2655,What cable network bills itself as `` the family entertainer '' ?,3
1071,"What is the per-capita income of Colombia , South America , ?",5
5422,How do I legally make my own will and testament ?,0
1831,"When it 's time to relax , what one beer stands clear ?",1
2877,What is the origin of gametophytic tissue ?,0
1001,When did Iraqi troops invade Kuwait ?,5
2235,What are `` inkhorn terms '' ?,0
4278,How many maids were milking ?,5
3050,What is literary criticism ?,0
4760,How many electoral college votes does Colorado have ?,5
957,Who replaced Bert Parks as the host of The Miss America Pageant ?,3
2723,What New England state carries the telephone area code 27 ?,4
1173,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,3
5264,What are the diseases that can be cured by black cumin ?,1
1334,What character did Tex Avery first create upon arriving at MGM ?,3
5234,What flag flies over Wake Island ?,1
1268,"What woman has carried the most multiple births , twins , triplets , etc. , ?",3
2550,How far can you see ?,5
5010,"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?",4
1034,How much did the minimum wage amount to in 1991 ?,5
2535,What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,1
931,What U.S. state records the least rainfall ?,4
4977,Where did the name Daniel originate ?,4
4119,Who created Harry Lime ?,3
633,Who is Coronado ?,3
3100,What is the Bernoulli Principle ?,0
498,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,3
4549,Where is the largest post office building in the world ?,4
415,When was the women 's suffrage amendment ratified ?,5
1859,How old is Jeremy Piven ?,5
3612,What is the meaning of `` subaru ? '',0
1186,Jude Law acted in which film ?,1
1732,What ever happened to the once popular Yale Lock Company ?,0
757,What is the longest place name in the U.S. ?,4
2536,How do you write a correct critical analysis of a poem ?,0
1041,What is the origin of the term `` The Brooklyn Side '' in bowling ?,0
4044,How long has L.L. Cool J. been married ?,5
2658,Which comic book was not spawned directly from the pulp magazines ?,1
2591,"On average , how long time does it take to type a screenplay ?",5
1634,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,3
596,What video game hero do some of his fans call Chomper ?,3
1773,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?",0
1756,When did humans first begin to write history seriously ?,5
3316,Who was Damocles ?,3
652,What is the belt of low pressure around the equator called ?,1
1782,Who is considered The First Lady of the American Stage ?,3
3848,What drink contains as many types of rum as possible ?,1
2373,How do you pronounce `` Tzimisce '' ?,0
2357,How does marijuana lead to other drugs ?,0
1255,Who was with Patricia Hearst the night she was kidnaped ?,3
1501,What was the species of Winnie the Pooh ?,1
75,How do I make fuel bricks from recycled newspaper ?,0
5125,What is a hormone ?,0
3011,Why does the sun shine only a short time in Alaska ?,0
3685,How big is a baby bald eagle ?,5
3258,What causes rust ?,0
1302,"What magazine gives us the cream , not the skim ?",1
4211,What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?,3
3715,What do insects do through their spiracles ?,0
2077,Who made the first surfboard ?,3
3366,What is Smartnet ?,0
1010,How many Canadians emmigrate each year ?,5
1029,What are the names of all the U.S. Navy aircraft carriers ?,1
3846,How do you do a bibliography page ?,0
828,What does NAFTA stand for ?,2
3686,What color is most often used to symbolize truth ?,1
